AidID,PersonID,ProgramType,DisbursementDate,Amount,EligibilityStatus,PaymentMethod,Province,IncomeBracket,AgeGroup,ReceivedThroughIndigenousServices
A0249,P0249,GIS,2023-09-15,2115,Pending,Direct Deposit,MB,Low,18-34,False
A0250,P0250,GST Credit,2024-01-27,2349,Eligible,Cheque,BC,High,0-17,True
A0251,P0251,GST Credit,2025-05-28,2100,Eligible,Direct Deposit,QC,Medium,35-54,True
A0252,P0252,CRB,2022-11-27,2163,Ineligible,Direct Deposit,ON,Medium,0-17,False
A0253,P0253,CERB,2024-12-08,806,Eligible,Direct Deposit,PE,Medium,18-34,True
A0254,P0254,GST Credit,2023-05-24,1118,Eligible,Direct Deposit,BC,Medium,0-17,False
A0255,P0255,CCB,2023-09-29,1632,Eligible,Cheque,ON,Low,18-34,True
A0256,P0256,CERB,2023-03-10,1895,Eligible,Direct Deposit,ON,Medium,35-54,True
A0257,P0257,CERB,2024-11-24,2904,Eligible,Direct Deposit,ON,Low,18-34,True
A0258,P0258,GST Credit,2023-09-01,2728,Eligible,Direct Deposit,NB,High,0-17,True
A0259,P0259,CCB,2024-09-27,1879,Eligible,Direct Deposit,BC,High,35-54,False
A0260,P0260,CRB,2022-07-25,2199,Eligible,Cheque,ON,Low,35-54,True
A0261,P0261,GST Credit,2024-07-10,2615,Eligible,Direct Deposit,NS,High,0-17,True
A0262,P0262,CCB,2024-07-08,2839,Eligible,Cheque,PE,Low,35-54,True
A0263,P0263,CERB,2022-09-25,680,Ineligible,Direct Deposit,BC,Low,55+,True
A0264,P0264,CCB,2022-10-08,2981,Eligible,Direct Deposit,NB,High,0-17,False
A0265,P0265,CERB,2023-09-14,1987,Ineligible,Direct Deposit,AB,Medium,35-54,True
A0266,P0266,GST Credit,2024-03-15,1413,Eligible,Cheque,AB,Medium,35-54,False
A0267,P0267,GST Credit,2025-04-18,2057,Eligible,Direct Deposit,MB,Low,18-34,False
A0268,P0268,GIS,2025-04-20,2613,Eligible,Direct Deposit,SK,Low,0-17,True
A0269,P0269,GIS,2024-08-29,1544,Eligible,Cheque,NS,High,0-17,False
A0270,P0270,GIS,2024-02-20,2135,Eligible,Direct Deposit,AB,Low,55+,True
A0271,P0271,GST Credit,2022-08-05,2931,Eligible,Direct Deposit,NB,Low,55+,True
A0272,P0272,CRB,2024-10-02,2138,Eligible,Direct Deposit,SK,Medium,35-54,True
A0273,P0273,GST Credit,2023-05-31,2082,Eligible,Direct Deposit,ON,Medium,18-34,False
A0274,P0274,CCB,2025-02-11,2586,Eligible,Direct Deposit,ON,Medium,35-54,False
A0275,P0275,GST Credit,2024-04-01,1808,Eligible,Direct Deposit,NL,Low,35-54,True
A0276,P0276,GST Credit,2022-11-06,1321,Eligible,Direct Deposit,PE,Low,18-34,False
A0277,P0277,CERB,2023-09-15,1101,Eligible,Direct Deposit,SK,Low,0-17,True
A0278,P0278,CERB,2025-05-01,2120,Eligible,Direct Deposit,PE,High,35-54,True
A0279,P0279,CERB,2024-11-10,1284,Eligible,Cheque,NB,Low,18-34,True
A0280,P0280,GST Credit,2023-06-09,1711,Eligible,Direct Deposit,NS,Medium,35-54,False
A0281,P0281,CRB,2023-06-23,1170,Pending,Direct Deposit,SK,Medium,18-34,False
A0282,P0282,CCB,2023-06-29,1766,Eligible,Direct Deposit,AB,High,0-17,True
A0283,P0283,CCB,2024-02-01,1596,Eligible,Direct Deposit,NS,High,0-17,True
A0284,P0284,CRB,2024-04-09,2497,Eligible,Direct Deposit,NL,Low,18-34,True
A0285,P0285,CRB,2024-12-31,600,Pending,Direct Deposit,PE,Low,55+,True
A0286,P0286,CCB,2022-08-25,2279,Eligible,Direct Deposit,PE,Medium,0-17,True
A0287,P0287,GIS,2023-12-17,675,Pending,Direct Deposit,NS,Low,55+,False
A0288,P0288,CERB,2024-03-08,737,Eligible,Direct Deposit,ON,Medium,18-34,True
A0289,P0289,CERB,2022-11-22,1622,Eligible,Direct Deposit,PE,Medium,35-54,True
A0290,P0290,CCB,2024-11-30,2477,Ineligible,Direct Deposit,NL,High,18-34,True
A0291,P0291,CRB,2023-11-12,2503,Eligible,Direct Deposit,AB,Low,35-54,False
A0292,P0292,GIS,2023-01-30,2037,Eligible,Direct Deposit,BC,High,35-54,False
A0293,P0293,CCB,2022-07-28,1254,Ineligible,Cheque,AB,Low,18-34,True
A0294,P0294,CERB,2023-07-27,2758,Pending,Direct Deposit,AB,Medium,0-17,False
A0295,P0295,GST Credit,2023-06-23,1646,Eligible,Direct Deposit,PE,Medium,55+,True
A0296,P0296,CRB,2024-10-28,1911,Eligible,Direct Deposit,QC,Medium,55+,True
A0297,P0297,GST Credit,2022-07-07,639,Ineligible,Direct Deposit,ON,Medium,0-17,True
A0298,P0298,CCB,2023-04-05,1040,Eligible,Direct Deposit,PE,High,35-54,True
A0299,P0299,CERB,2023-07-12,1914,Ineligible,Direct Deposit,ON,High,55+,True
A0300,P0300,GIS,2024-07-23,769,Eligible,Direct Deposit,NB,High,55+,False
A0301,P0301,GST Credit,2022-10-14,1535,Eligible,Direct Deposit,QC,Low,55+,False
A0302,P0302,GIS,2024-06-04,2390,Pending,Direct Deposit,PE,High,35-54,False
A0303,P0303,CERB,2022-06-12,1005,Eligible,Direct Deposit,MB,Medium,18-34,True
A0304,P0304,GST Credit,2023-08-06,1629,Eligible,Direct Deposit,AB,Low,18-34,True
A0305,P0305,GIS,2024-08-20,2579,Eligible,Direct Deposit,NB,Low,18-34,False
A0306,P0306,GIS,2023-11-10,2372,Eligible,Direct Deposit,QC,Low,35-54,True
A0307,P0307,GST Credit,2025-05-21,1592,Eligible,Direct Deposit,PE,Low,35-54,True
A0308,P0308,CERB,2022-12-17,1312,Ineligible,Direct Deposit,NL,Medium,18-34,True
A0309,P0309,GIS,2024-01-09,861,Eligible,Cheque,NS,High,55+,False
A0310,P0310,CCB,2025-05-10,1956,Eligible,Cheque,NS,Medium,35-54,True
A0311,P0311,GST Credit,2023-06-11,1428,Ineligible,Direct Deposit,ON,Medium,35-54,True
A0312,P0312,CRB,2024-05-07,599,Eligible,Direct Deposit,QC,High,18-34,False
A0313,P0313,CRB,2024-02-29,2181,Eligible,Direct Deposit,AB,Low,18-34,True
A0314,P0314,CERB,2022-11-02,2556,Eligible,Direct Deposit,AB,High,0-17,True
A0315,P0315,CCB,2024-03-18,1552,Pending,Direct Deposit,BC,Medium,18-34,True
A0316,P0316,GIS,2022-08-20,1420,Eligible,Direct Deposit,NS,Medium,0-17,True
A0317,P0317,CRB,2024-06-15,2937,Eligible,Cheque,NB,Low,0-17,False
A0318,P0318,CERB,2023-11-19,1131,Eligible,Direct Deposit,QC,Medium,18-34,True
A0319,P0319,CCB,2025-05-02,1181,Eligible,Direct Deposit,AB,Low,18-34,True
A0320,P0320,CCB,2025-01-15,2704,Eligible,Direct Deposit,BC,Medium,0-17,False
A0321,P0321,CERB,2022-10-23,2882,Eligible,Direct Deposit,QC,Low,35-54,False
A0322,P0322,CERB,2022-10-01,2807,Eligible,Direct Deposit,SK,High,18-34,False
A0323,P0323,GIS,2024-07-07,2629,Pending,Direct Deposit,AB,Low,55+,True
A0324,P0324,CERB,2022-08-17,1253,Eligible,Direct Deposit,SK,Low,55+,True
A0325,P0325,GIS,2023-12-25,1964,Eligible,Direct Deposit,QC,Medium,0-17,False
A0326,P0326,GIS,2023-10-29,1219,Eligible,Cheque,AB,Low,18-34,False
A0327,P0327,GST Credit,2025-04-19,574,Eligible,Direct Deposit,SK,Medium,0-17,True
A0328,P0328,CCB,2024-04-12,1793,Eligible,Direct Deposit,MB,High,35-54,True
A0329,P0329,CCB,2025-03-25,2422,Eligible,Direct Deposit,BC,Medium,35-54,True
A0330,P0330,CCB,2023-11-08,561,Eligible,Direct Deposit,NB,Low,18-34,False
A0331,P0331,GST Credit,2023-03-08,1373,Eligible,Direct Deposit,NS,Medium,35-54,True
A0332,P0332,GIS,2024-05-20,819,Eligible,Cheque,BC,Medium,18-34,True
A0333,P0333,GIS,2022-11-10,2649,Eligible,Direct Deposit,SK,High,0-17,True
A0334,P0334,CERB,2023-05-19,1952,Eligible,Cheque,AB,Low,35-54,False
A0335,P0335,GST Credit,2022-06-30,1373,Eligible,Direct Deposit,MB,Medium,18-34,False
A0336,P0336,CERB,2024-06-19,2245,Eligible,Direct Deposit,MB,Medium,35-54,True
A0337,P0337,GST Credit,2024-04-05,2802,Eligible,Cheque,NS,Low,18-34,False
A0338,P0338,CERB,2024-07-20,2055,Eligible,Direct Deposit,MB,Low,55+,False
A0339,P0339,CRB,2024-01-22,611,Ineligible,Direct Deposit,BC,Medium,0-17,True
A0340,P0340,CCB,2024-03-24,960,Eligible,Direct Deposit,PE,High,18-34,True
A0341,P0341,CCB,2022-09-20,1386,Eligible,Direct Deposit,MB,High,35-54,True
A0342,P0342,GIS,2023-01-24,1615,Eligible,Direct Deposit,NS,Medium,18-34,False
A0343,P0343,CRB,2024-06-10,1575,Eligible,Cheque,MB,Low,55+,True
A0344,P0344,CCB,2023-10-09,1019,Eligible,Direct Deposit,MB,Low,35-54,False
A0345,P0345,GIS,2024-10-07,1311,Pending,Direct Deposit,NL,High,35-54,False
A0346,P0346,CRB,2024-02-16,2783,Eligible,Cheque,BC,High,35-54,True
A0347,P0347,CCB,2022-06-12,2424,Pending,Direct Deposit,SK,High,55+,False
A0348,P0348,CERB,2023-12-03,2104,Ineligible,Direct Deposit,ON,Medium,55+,True
A0349,P0349,GST Credit,2023-04-13,1426,Eligible,Direct Deposit,PE,Low,35-54,True
A0350,P0350,CRB,2024-11-02,1056,Eligible,Direct Deposit,MB,High,35-54,False
A0351,P0351,GIS,2022-06-13,2781,Eligible,Direct Deposit,NB,Medium,0-17,False
A0352,P0352,CRB,2024-09-06,1555,Eligible,Cheque,MB,Low,0-17,True
A0353,P0353,GIS,2025-01-06,1078,Pending,Direct Deposit,NL,Medium,35-54,False
A0354,P0354,CRB,2022-06-12,1041,Eligible,Direct Deposit,SK,Low,0-17,False
A0355,P0355,GIS,2022-10-10,2661,Ineligible,Direct Deposit,NB,Low,18-34,True
A0356,P0356,CCB,2024-01-13,2751,Eligible,Direct Deposit,PE,Medium,18-34,False
A0357,P0357,CERB,2025-04-18,1552,Ineligible,Direct Deposit,NB,Medium,18-34,True
A0358,P0358,CCB,2023-10-06,973,Pending,Direct Deposit,BC,High,35-54,True
A0359,P0359,CERB,2024-01-27,2800,Eligible,Direct Deposit,NS,Low,55+,True
A0360,P0360,CCB,2023-08-16,1404,Eligible,Cheque,NS,Low,0-17,False
A0361,P0361,CCB,2023-04-29,2445,Eligible,Direct Deposit,PE,Low,18-34,False
A0362,P0362,CRB,2024-08-31,885,Ineligible,Direct Deposit,SK,Low,55+,True
A0363,P0363,GST Credit,2023-09-03,561,Pending,Cheque,NS,Low,0-17,True
A0364,P0364,GIS,2023-05-08,1014,Ineligible,Direct Deposit,QC,Medium,35-54,False
A0365,P0365,GIS,2024-05-15,929,Eligible,Direct Deposit,NL,Medium,18-34,True
A0366,P0366,GIS,2022-07-27,1079,Eligible,Direct Deposit,PE,Medium,18-34,False
A0367,P0367,CERB,2025-05-06,2060,Ineligible,Direct Deposit,PE,High,55+,False
A0368,P0368,GIS,2023-03-05,1664,Eligible,Direct Deposit,ON,Medium,18-34,True
A0369,P0369,GIS,2023-07-07,1823,Ineligible,Direct Deposit,ON,Low,35-54,False
A0370,P0370,CRB,2023-05-11,2858,Eligible,Direct Deposit,BC,Low,35-54,True
A0371,P0371,CCB,2024-01-22,970,Eligible,Direct Deposit,BC,High,0-17,False
A0372,P0372,GIS,2022-11-07,1916,Eligible,Direct Deposit,ON,Medium,35-54,False
A0373,P0373,GST Credit,2023-02-16,2165,Eligible,Direct Deposit,NS,High,55+,False
A0374,P0374,GIS,2024-04-22,1968,Eligible,Direct Deposit,AB,High,0-17,True
A0375,P0375,CERB,2024-06-30,1308,Eligible,Cheque,PE,High,55+,False
A0376,P0376,CERB,2024-05-20,671,Eligible,Cheque,QC,High,35-54,True
A0377,P0377,CERB,2023-10-30,530,Eligible,Direct Deposit,PE,Medium,35-54,True
A0378,P0378,GIS,2022-12-18,546,Eligible,Direct Deposit,MB,Low,35-54,True
A0379,P0379,CRB,2023-10-27,629,Eligible,Direct Deposit,SK,High,18-34,True
A0380,P0380,GST Credit,2024-06-16,2899,Pending,Direct Deposit,NL,Medium,55+,True
A0381,P0381,GIS,2024-11-03,1477,Eligible,Direct Deposit,AB,Low,55+,False
A0382,P0382,CRB,2023-02-14,2145,Pending,Direct Deposit,QC,Medium,35-54,False
A0383,P0383,CRB,2022-12-17,2104,Eligible,Direct Deposit,MB,Medium,35-54,True
A0384,P0384,GIS,2023-09-10,557,Eligible,Direct Deposit,BC,High,35-54,False
A0385,P0385,GIS,2025-01-03,1629,Eligible,Cheque,QC,Medium,18-34,True
A0386,P0386,CRB,2023-06-09,1853,Eligible,Direct Deposit,ON,Low,35-54,False
A0387,P0387,CRB,2025-06-03,1267,Eligible,Direct Deposit,PE,High,35-54,False
A0388,P0388,CRB,2023-06-17,1182,Eligible,Direct Deposit,QC,High,35-54,True
A0389,P0389,GIS,2024-09-03,2508,Eligible,Direct Deposit,SK,Medium,35-54,False
A0390,P0390,CRB,2024-05-27,2833,Eligible,Direct Deposit,NB,Low,18-34,True
A0391,P0391,CERB,2025-01-13,2290,Eligible,Direct Deposit,BC,Low,0-17,True
A0392,P0392,GIS,2023-09-03,1977,Eligible,Direct Deposit,NL,Medium,0-17,False
A0393,P0393,CERB,2023-07-30,1385,Eligible,Direct Deposit,NL,Low,18-34,True
A0394,P0394,CCB,2022-07-10,896,Eligible,Cheque,QC,Low,35-54,True
A0395,P0395,GIS,2023-03-25,2038,Eligible,Cheque,NB,Medium,35-54,True
A0396,P0396,CCB,2024-10-06,2573,Eligible,Cheque,PE,Medium,35-54,False
A0397,P0397,CRB,2023-12-05,812,Eligible,Direct Deposit,MB,Medium,18-34,True
A0398,P0398,CRB,2022-11-21,2673,Ineligible,Direct Deposit,AB,Low,35-54,True
A0399,P0399,GST Credit,2024-02-08,2088,Ineligible,Direct Deposit,PE,Medium,18-34,False
A0400,P0400,CRB,2023-11-20,1721,Eligible,Direct Deposit,MB,Medium,18-34,False
A0401,P0401,CCB,2022-07-21,1310,Eligible,Direct Deposit,AB,Low,35-54,True
A0402,P0402,CRB,2022-11-01,2735,Eligible,Cheque,NB,Low,55+,True
A0403,P0403,GIS,2023-11-24,2532,Eligible,Direct Deposit,AB,Medium,18-34,True
A0404,P0404,CRB,2023-05-02,2007,Eligible,Direct Deposit,PE,High,0-17,True
A0405,P0405,GST Credit,2024-09-17,949,Eligible,Direct Deposit,SK,Medium,0-17,True
A0406,P0406,CRB,2024-01-30,2394,Eligible,Cheque,QC,Low,0-17,False
A0407,P0407,CCB,2023-07-19,1877,Eligible,Direct Deposit,MB,Low,35-54,False
A0408,P0408,CCB,2023-07-28,1096,Eligible,Cheque,SK,High,18-34,False
A0409,P0409,CRB,2023-12-11,2647,Eligible,Cheque,MB,Low,18-34,True
A0410,P0410,CCB,2024-01-17,1115,Eligible,Cheque,QC,Medium,18-34,False
A0411,P0411,CCB,2022-07-01,1447,Eligible,Direct Deposit,NS,Medium,0-17,True
A0412,P0412,GST Credit,2024-02-25,2081,Eligible,Direct Deposit,AB,Low,18-34,False
A0413,P0413,GIS,2022-07-03,1055,Eligible,Direct Deposit,NB,High,18-34,False
A0414,P0414,GST Credit,2022-12-07,777,Eligible,Direct Deposit,NS,Medium,18-34,True
A0415,P0415,CERB,2022-07-17,2513,Eligible,Direct Deposit,NS,Medium,18-34,False
A0416,P0416,GST Credit,2023-03-23,990,Eligible,Direct Deposit,NL,Low,35-54,True
A0417,P0417,CRB,2025-04-30,754,Ineligible,Cheque,ON,Low,0-17,False
A0418,P0418,GIS,2024-04-09,2928,Eligible,Direct Deposit,PE,Medium,55+,True
A0419,P0419,CRB,2024-11-09,1391,Pending,Cheque,SK,Medium,18-34,True
A0420,P0420,CERB,2024-12-27,1041,Eligible,Direct Deposit,SK,Low,35-54,False
A0421,P0421,GIS,2022-07-23,1787,Eligible,Direct Deposit,SK,Low,35-54,True
A0422,P0422,CCB,2024-01-25,2133,Eligible,Cheque,SK,Low,35-54,False
A0423,P0423,GST Credit,2022-08-19,1324,Eligible,Direct Deposit,PE,High,35-54,True
A0424,P0424,CRB,2022-09-19,1852,Eligible,Direct Deposit,NS,Medium,18-34,False
A0425,P0425,CERB,2022-09-29,780,Eligible,Direct Deposit,PE,High,18-34,False
A0426,P0426,CCB,2024-02-27,1798,Ineligible,Direct Deposit,SK,Low,18-34,True
A0427,P0427,GST Credit,2023-01-21,1272,Pending,Direct Deposit,ON,High,35-54,True
A0428,P0428,CCB,2022-09-24,827,Eligible,Direct Deposit,BC,Low,0-17,True
A0429,P0429,GST Credit,2023-10-14,2758,Eligible,Direct Deposit,QC,Medium,18-34,True
A0430,P0430,GIS,2024-09-21,1422,Eligible,Direct Deposit,SK,High,35-54,True
A0431,P0431,CCB,2024-07-19,1051,Eligible,Direct Deposit,NB,Low,35-54,False
A0432,P0432,CCB,2023-04-15,2573,Ineligible,Direct Deposit,BC,Medium,35-54,False
A0433,P0433,CCB,2023-10-23,2574,Ineligible,Direct Deposit,PE,Low,35-54,False
A0434,P0434,GIS,2023-08-21,1201,Ineligible,Cheque,NB,Low,55+,False
A0435,P0435,CERB,2024-11-18,2419,Eligible,Direct Deposit,NB,Medium,18-34,False
A0436,P0436,GST Credit,2024-11-05,2960,Eligible,Direct Deposit,MB,Medium,18-34,False
A0437,P0437,CCB,2024-08-24,666,Eligible,Direct Deposit,NB,Medium,18-34,True
A0438,P0438,GIS,2023-11-18,668,Pending,Cheque,SK,Medium,18-34,False
A0439,P0439,CERB,2024-09-03,728,Eligible,Direct Deposit,MB,Medium,35-54,False
A0440,P0440,GST Credit,2024-09-17,2502,Eligible,Direct Deposit,NL,Low,18-34,True
A0441,P0441,GIS,2025-02-04,866,Eligible,Direct Deposit,NS,Low,35-54,True
A0442,P0442,GST Credit,2024-08-06,1027,Ineligible,Direct Deposit,NB,High,18-34,True
A0443,P0443,CCB,2022-09-03,1290,Eligible,Direct Deposit,ON,Low,35-54,True
A0444,P0444,CERB,2022-10-26,1023,Eligible,Direct Deposit,QC,Medium,35-54,False
A0445,P0445,GIS,2024-07-05,1595,Pending,Direct Deposit,NB,Low,18-34,True
A0446,P0446,CERB,2024-02-25,2168,Pending,Cheque,NL,Medium,18-34,True
A0447,P0447,CCB,2022-10-16,2653,Eligible,Direct Deposit,AB,Medium,18-34,False
A0448,P0448,CERB,2023-11-09,2408,Eligible,Direct Deposit,PE,Low,0-17,True
A0449,P0449,CERB,2022-10-13,1805,Ineligible,Direct Deposit,PE,Low,18-34,True
A0450,P0450,CRB,2025-02-17,632,Pending,Cheque,NL,Medium,0-17,True
A0451,P0451,CERB,2024-09-18,2816,Eligible,Cheque,AB,Low,18-34,False
A0452,P0452,GST Credit,2024-03-30,2142,Eligible,Direct Deposit,PE,Low,35-54,False
A0453,P0453,GIS,2025-03-15,2388,Eligible,Direct Deposit,PE,Medium,35-54,True
A0454,P0454,CRB,2023-08-12,2270,Ineligible,Direct Deposit,PE,Low,35-54,False
A0455,P0455,GIS,2022-06-14,517,Eligible,Direct Deposit,NL,High,0-17,True
A0456,P0456,GIS,2024-04-27,2277,Eligible,Direct Deposit,NS,Medium,35-54,False
A0457,P0457,CCB,2024-07-03,616,Eligible,Direct Deposit,QC,Low,18-34,False
A0458,P0458,CCB,2023-02-08,1297,Pending,Direct Deposit,NL,Medium,18-34,False
A0459,P0459,CRB,2024-10-03,2211,Eligible,Direct Deposit,AB,Medium,55+,True
A0460,P0460,CCB,2024-08-19,1252,Eligible,Direct Deposit,NB,Low,0-17,False
A0461,P0461,CCB,2022-11-29,2969,Eligible,Direct Deposit,NS,Medium,35-54,False
A0462,P0462,CCB,2024-03-14,1892,Eligible,Direct Deposit,NS,Low,35-54,True
A0463,P0463,GIS,2023-04-25,2597,Eligible,Direct Deposit,NB,Low,18-34,False
A0464,P0464,CRB,2023-02-01,1177,Eligible,Direct Deposit,ON,Low,18-34,True
A0465,P0465,GIS,2024-07-23,605,Eligible,Direct Deposit,MB,Low,18-34,False
A0466,P0466,GST Credit,2024-06-23,1157,Pending,Direct Deposit,QC,Low,55+,True
A0467,P0467,GIS,2022-07-25,2446,Eligible,Direct Deposit,QC,Medium,18-34,False
A0468,P0468,GST Credit,2023-12-23,1948,Eligible,Direct Deposit,ON,Medium,18-34,True
A0469,P0469,CERB,2025-05-31,1595,Eligible,Direct Deposit,MB,Medium,18-34,True
A0470,P0470,CERB,2023-05-11,1487,Eligible,Direct Deposit,QC,Medium,35-54,True
A0471,P0471,GST Credit,2025-01-21,2308,Eligible,Direct Deposit,AB,High,0-17,True
A0472,P0472,GST Credit,2023-09-27,2282,Ineligible,Cheque,BC,Medium,18-34,True
A0473,P0473,GIS,2024-06-01,945,Eligible,Direct Deposit,BC,Medium,35-54,True
A0474,P0474,GST Credit,2024-06-19,2448,Eligible,Cheque,QC,Low,55+,True
A0475,P0475,CRB,2024-07-28,2617,Pending,Direct Deposit,SK,High,18-34,True
A0476,P0476,CERB,2022-08-02,2497,Eligible,Cheque,QC,Low,18-34,True
A0477,P0477,CERB,2024-04-07,2697,Ineligible,Direct Deposit,NB,Low,18-34,False
A0478,P0478,GST Credit,2025-03-23,1273,Eligible,Direct Deposit,NB,Medium,35-54,True
A0479,P0479,CCB,2024-07-12,2061,Eligible,Direct Deposit,MB,Low,18-34,False
A0480,P0480,CCB,2024-05-06,2175,Eligible,Direct Deposit,PE,Low,18-34,False
A0481,P0481,GST Credit,2025-05-14,1622,Eligible,Cheque,NS,Medium,35-54,False
A0482,P0482,CRB,2023-12-11,1801,Eligible,Direct Deposit,AB,Medium,35-54,True
A0483,P0483,CCB,2023-10-28,2086,Eligible,Direct Deposit,ON,Medium,18-34,False
A0484,P0484,GST Credit,2023-02-07,2186,Eligible,Direct Deposit,QC,High,55+,True
A0485,P0485,CRB,2023-10-01,1443,Ineligible,Direct Deposit,PE,Low,35-54,True
A0486,P0486,CRB,2023-04-22,954,Eligible,Cheque,PE,Low,18-34,True
A0487,P0487,GIS,2025-03-10,1627,Pending,Direct Deposit,AB,Medium,0-17,False
A0488,P0488,CRB,2024-07-04,1445,Eligible,Direct Deposit,ON,Low,55+,True
A0489,P0489,CCB,2022-07-08,1100,Eligible,Direct Deposit,NB,Medium,0-17,True
A0490,P0490,CCB,2024-07-16,1224,Ineligible,Cheque,NL,Low,18-34,False
A0491,P0491,GST Credit,2023-05-03,2780,Eligible,Direct Deposit,AB,Medium,0-17,False
A0492,P0492,GST Credit,2023-06-29,1917,Pending,Direct Deposit,PE,Medium,35-54,True
A0493,P0493,CRB,2023-09-18,2024,Eligible,Direct Deposit,BC,Medium,18-34,True
A0494,P0494,CERB,2024-10-06,750,Eligible,Direct Deposit,QC,Medium,0-17,False
A0495,P0495,GIS,2023-08-18,2044,Eligible,Direct Deposit,MB,Medium,0-17,True
A0496,P0496,CERB,2025-02-07,578,Eligible,Cheque,BC,Low,0-17,True
A0497,P0497,CRB,2025-02-02,1397,Eligible,Direct Deposit,PE,Low,35-54,True
A0498,P0498,CRB,2022-08-10,1280,Eligible,Cheque,NS,Low,35-54,False
A0499,P0499,CERB,2024-09-01,725,Eligible,Direct Deposit,SK,Medium,18-34,False
A0500,P0500,GIS,2023-08-31,1574,Eligible,Direct Deposit,ON,Low,18-34,False
